CensusDate	OrderStatus	OrderStatusCount
3/12/2020	POSITIVE	1
3/13/2020	POSITIVE	1
3/14/2020	POSITIVE	1
3/15/2020	POSITIVE	1
3/16/2020	POSITIVE	1
3/17/2020	POSITIVE	2
3/18/2020	POSITIVE	3
3/19/2020	POSITIVE	2
3/20/2020	POSITIVE	3
3/21/2020	POSITIVE	4
3/22/2020	POSITIVE	4
3/23/2020	POSITIVE	4
3/24/2020	POSITIVE	7
3/25/2020	POSITIVE	7
3/26/2020	POSITIVE	13
3/27/2020	POSITIVE	15
3/28/2020	POSITIVE	13
3/29/2020	POSITIVE	12
3/30/2020	POSITIVE	12
3/31/2020	POSITIVE	16
4/1/2020	POSITIVE	17
4/2/2020	POSITIVE	17
4/3/2020	POSITIVE	21
4/4/2020	POSITIVE	31
4/5/2020	POSITIVE	32
4/6/2020	POSITIVE	40
4/7/2020	POSITIVE	46
4/8/2020	POSITIVE	45
4/9/2020	POSITIVE	42
4/10/2020	POSITIVE	45
4/11/2020	POSITIVE	51
4/12/2020	POSITIVE	56
4/13/2020	POSITIVE	57
4/14/2020	POSITIVE	77
4/15/2020	POSITIVE	76
4/16/2020	POSITIVE	82
4/17/2020	POSITIVE	83
4/18/2020	POSITIVE	92
4/19/2020	POSITIVE	88
4/20/2020	POSITIVE	93
4/21/2020	POSITIVE	97
